cids	inchi_key
123134693	NFPWGFSRWDHFFT-UHFFFAOYSA-N
123135747	OHRURASPPZQGQM-OYTWCIJESA-N
12314120	PMTSPAGBAFCORP-HBUONDEYSA-N
1234	XQLWNAFCTODIRK-UHFFFAOYSA-N
123606	WKEMJKQOLOHJLZ-UHFFFAOYSA-N
123619	MNJVRJDLRVPLFE-UHFFFAOYSA-N
123630	LPQZKKCYTLCDGQ-WEDXCCLWSA-N
123631	XGALLCVXEZPNRQ-UHFFFAOYSA-N
123816	WYUSVOMTXWRGEK-NOZJJQNGSA-N
123829	JCMLWGQJPSGGEI-DJQDYNOGSA-N
123868	PVBQYTCFVWZSJK-UHFFFAOYSA-N
123891	MQLRYUCJDNBWMV-PRHODGIISA-N
123931031	HJJDBAOLQAWBMH-CGCSKFHYSA-N
123935	HJCMDXDYPOUFDY-WHFBIAKZSA-N
124080907	LHLMOSXCXGLMMN-CJFOZSTMSA-M
124081048	AUJRCFUBUPVWSZ-JMYRMHIVSA-M
124081896	RZVPBGBYGMDSBG-GGAORHGYSA-N
124087	JAUOIFJMECXRGI-UHFFFAOYSA-N
124093	NJDRXTDGYFKORP-LLVKDONJSA-N
124389585	WYUSVOMTXWRGEK-LKXIZDLNSA-N
12454	WFPIAZLQTJBIFN-UHFFFAOYSA-N
124870718	AZSNMRSAGSSBNP-LFOOHIAMSA-N
124870720	AZSNMRSAGSSBNP-TYECJXEWSA-N
124886	RWSXRVCMGQZWBV-WDSKDSINSA-N
12492	LBXHRAWDUMTPSE-AOOOYVTPSA-N
125017	KYYIDSXMWOZKMP-UHFFFAOYSA-N
12546498	WDEFBBTXULIOBB-DOTOQJQBSA-N
12555	CNBGNNVCVSKAQZ-UHFFFAOYSA-N
12560	ULGZDMOVFRHVEP-RWJQBGPGSA-N
1257698	LJOQGZACKSYWCH-AFHBHXEDSA-N
12598	DVLBYTMYSMAKHP-UHFFFAOYSA-N
12604	KLOIYEQEVSIOOO-UHFFFAOYSA-N
12620	NOPFSRXAKWQILS-UHFFFAOYSA-N
126480146	RHYVGCKRBKDRDX-UHFFFAOYSA-L
12675	NJCBUSHGCBERSK-UHFFFAOYSA-N
126843196	PBGKTOXHQIOBKM-UHFFFAOYSA-N
126843213	WEDIKSVWBUKTRA-UHFFFAOYSA-N
126941	FBOZXECLQNJBKD-ZDUSSCGKSA-N
126963478	FIHJKUPKCHIPAT-DRVUCALVSA-N
126968450	JWUBBDSIWDLEOM-MYTFBLFYSA-N
126968498	WLOHNSSYAXHWNR-IOYXQVQASA-N
126968951	ZXIBCJHYVWYIKI-YMBRHYMPSA-N
126969097	XJSFLOJWULLJQS-QVGPRFTBSA-N
126969152	RXZBMPWDPOLZGW-STBKWZONSA-N
126969212	KASDHRXLYQOAKZ-YEVXOFILSA-N
127053480	MVTQIFVKRXBCHS-SMMNFGSLSA-N
127151	CBQGYUDMJHNJBX-RTBURBONSA-N
127527	SMSRCGPDNDCXFR-CYWZMYCQSA-N
12774278	NFFJLMKHRCXLJO-DKWTVANSSA-L
12818200	RMTYNAPTNBJHQI-LLDVTBCESA-N
128229	LPLVUJXQOOQHMX-MOGLOQIBSA-N
12851498	PTOJVMZPWPAXER-GOJYPUSESA-N
128919	WJJYZXPHLSLMGE-UHFFFAOYSA-N
12894	CYFLXLSBHQBMFT-UHFFFAOYSA-N
129009859	ZGFNGGUWNROSAD-UHFFFAOYSA-N
129009869	SXYIRMFQILZOAM-RDAPPBCGSA-N
129009911	FIHJKUPKCHIPAT-PNDUOAGUSA-N
129009913	KDLRVYVGXIQJDK-NQQGAZBYSA-N
129009934	JXLYSJRDGCGARV-HAVDPRAOSA-N
129009948	NRUKOCRGYNPUPR-DKQCQWADSA-N
129009962	DOAKLVKFURWEDJ-VAJASXOXSA-N
129009964	WLOHNSSYAXHWNR-JDMGOBCSSA-N
129009973	QGJUIPDUBHWZPV-BBIKMUCQSA-N
129010000	BLUAFEHZUWYNDE-KNAQKBOSSA-N
129010022	KASDHRXLYQOAKZ-RNZHFBRZSA-N
129010024	XUFXOAAUWZOOIT-PCKYEMPFSA-N
129010026	VKGCSBOEONLHPT-UHFFFAOYSA-N
129010435	TTZHDVOVKQGIBA-IECBXEDQSA-N
129211	DRHKJLXJIQTDTD-OAHLLOKOSA-N
129228	POGQSBRIGCQNEG-UHFFFAOYSA-N
1292	IWYDHOAUDWTVEP-UHFFFAOYSA-N
129317578	FIHJKUPKCHIPAT-RVBFJZMGSA-N
129317846	CBPNZQVSJQDFBE-UITOJQKMSA-N
129317852	QGJUIPDUBHWZPV-GDUHWLJNSA-N
129317859	KASDHRXLYQOAKZ-HUMFOWAFSA-N
129627537	FDJOLVPMNUYSCM-WZHZPDAFSA-L
129627679	AGVAZMGAQJOSFJ-JRUAQJQISA-M
129627691	JYIKNQVWKBUSNH-BPZGSJPUSA-N
129627692	KDLRVYVGXIQJDK-BVGIQVCNSA-N
129627711	ZPNFWUPYTFPOJU-IAUBLLHJSA-N
129627734	VQOXZBDYSJBXMA-OELABKPSSA-N
129627791	MVTQIFVKRXBCHS-PNOWYQMGSA-N
129627802	ACTOXUHEUCPTEW-SENNIVHBSA-N
129628207	VBGWSQKGUZHFPS-ZVYAWBDLSA-N
129629095	WLOHNSSYAXHWNR-GZJFMVQKSA-N
129629180	KIPXHMTXCBHELI-UHFFFAOYSA-N
129636405	RZWQQZWPVPHLSY-IZNWZRFJSA-N
129642557	DRTSMDDDSDXZPY-UHFFFAOYSA-L
129670662	QAAWEUKOUJRVBF-UHFFFAOYSA-N
12986439	XEEQGYMUWCZPDN-CVRLYYSRSA-N
129893475	PEGHUTFVPIHOSW-VMZSDVDQSA-N
129893562	ITFLMCXLENHUAD-WZHZPDAFSA-M
129893563	ZZXUAMCWBFFCJX-SLAFOUTOSA-M
