,sig_id
388,CPC006_SNUC5_6H:BRD-K01638814-051-10-1:10
389,CPC006_SKMEL1_6H:BRD-K01638814-051-10-1:10
390,CPC006_RMGI_6H:BRD-K01638814-051-10-1:10
391,CPC006_MDST8_6H:BRD-K01638814-051-10-1:10
392,CPC006_NCIH1836_6H:BRD-K01638814-051-10-1:10
393,CPC006_HT29_6H:H10
394,CPC006_TYKNU_6H:BRD-K01638814-051-10-1:10
395,CPC006_SW948_6H:H10
396,CPC006_VCAP_24H:BRD-K01638814-051-10-1:10
397,CPC006_THP1_6H:H10
398,CPC006_COV644_6H:BRD-K01638814-051-10-1:10
399,CPC006_SW620_6H:H10
400,CPC006_SNU1040_6H:BRD-K01638814-051-10-1:10
401,CPC006_SNUC4_6H:BRD-K01638814-051-10-1:10
402,CPC006_NCIH596_6H:BRD-K01638814-051-10-1:10
403,CPC006_CL34_6H:BRD-K01638814-051-10-1:10
404,CPC006_T3M10_6H:BRD-K01638814-051-10-1:10
405,CPC006_MCF7_6H:BRD-K01638814-051-10-1:10
406,CPC006_PC3_24H:H10
407,REP.A010_MCF10A_24H:N24
408,REP.B010_MCF10A_24H:N23
409,REP.A010_HEK293_24H:N24
410,REP.A010_PC3_24H:N23
411,REP.A010_JURKAT_24H:N19
412,REP.A010_MDAMB231_24H:N24
413,REP.B010_THP1_24H:N23
414,REP.A010_YAPC_24H:N22
415,REP.B010_THP1_24H:N19
416,REP.A010_HELA_24H:N21
417,REP.B010_HEK293_24H:N21
418,REP.A010_HA1E_24H:N24
419,REP.A010_MCF7_24H:N21
420,REP.A010_YAPC_24H:N21
421,REP.B010_MCF7_24H:N23
422,REP.B010_MDAMB231_24H:N21
423,REP.B010_HELA_24H:N24
424,REP.A010_PC3_24H:N24
425,REP.A010_HA1E_24H:N20
426,REP.A010_A549_24H:N21
427,REP.A010_MDAMB231_24H:N23
428,REP.A010_A549_24H:N20
429,REP.A010_MDAMB231_24H:N20
430,REP.A010_A549_24H:N22
431,REP.A010_HEK293_24H:N21
432,REP.B010_A549_24H:N24
433,REP.A010_MCF7_24H:N20
434,REP.A010_THP1_24H:N23
435,REP.A010_HEK293_24H:N23
436,REP.A010_HT29_24H:N22
437,REP.A010_A375_24H:N22
438,REP.B010_JURKAT_24H:N24
439,REP.A010_A549_24H:N19
440,REP.A010_JURKAT_24H:N23
441,REP.A010_MCF10A_24H:N19
442,REP.A010_A549_24H:N23
443,REP.A010_A549_24H:N24
444,REP.A010_HELA_24H:N19
445,REP.B010_PC3_24H:N19
446,REP.B010_MCF10A_24H:N24
447,REP.B010_HEK293_24H:N20
448,REP.A010_A375_24H:N23
449,REP.B010_THP1_24H:N24
450,REP.B010_HT29_24H:N24
451,REP.B010_HA1E_24H:N20
452,REP.B010_A549_24H:N19
453,REP.A010_HELA_24H:N23
454,REP.A010_HA1E_24H:N22
455,REP.B010_HA1E_24H:N21
456,REP.B010_MCF10A_24H:N21
457,REP.A010_HT29_24H:N24
458,REP.B010_HT29_24H:N23
459,REP.B010_YAPC_24H:N20
460,REP.A010_HELA_24H:N20
461,REP.B010_HELA_24H:N20
462,REP.B010_HA1E_24H:N22
463,REP.B010_JURKAT_24H:N20
464,REP.B010_JURKAT_24H:N23
465,REP.B010_PC3_24H:N21
466,REP.B010_HEK293_24H:N22
467,REP.B010_MCF10A_24H:N22
468,REP.A010_YAPC_24H:N20
469,REP.A010_MDAMB231_24H:N19
470,REP.B010_PC3_24H:N23
471,REP.A010_JURKAT_24H:N22
472,REP.A010_MCF7_24H:N24
473,REP.B010_HA1E_24H:N23
474,REP.B010_MCF7_24H:N19
475,REP.A010_JURKAT_24H:N21
476,REP.B010_A375_24H:N24
477,REP.A010_YAPC_24H:N19
478,REP.B010_MCF10A_24H:N19
479,REP.A010_A375_24H:N19
480,REP.A010_MCF10A_24H:N20
481,REP.A010_MDAMB231_24H:N22
482,REP.B010_MCF7_24H:N24
483,REP.B010_PC3_24H:N24
484,REP.A010_HT29_24H:N19
485,REP.B010_MCF7_24H:N22
486,REP.B010_HEK293_24H:N23
487,REP.A010_HA1E_24H:N21
488,REP.B010_A375_24H:N19
489,REP.B010_HELA_24H:N23
490,REP.B010_MDAMB231_24H:N24
491,REP.A010_PC3_24H:N19
492,REP.B010_YAPC_24H:N21
493,REP.B010_HT29_24H:N20
494,REP.B010_A549_24H:N23
495,REP.B010_HELA_24H:N22
496,REP.A010_HELA_24H:N24
497,REP.B010_MDAMB231_24H:N23
498,REP.A010_A375_24H:N20
499,REP.A010_THP1_24H:N21
500,REP.A010_THP1_24H:N24
501,REP.A010_HEK293_24H:N22
502,REP.B010_A549_24H:N21
503,REP.A010_PC3_24H:N22
504,REP.B010_A549_24H:N22
505,REP.A010_MCF10A_24H:N21
506,REP.A010_HA1E_24H:N23
507,REP.A010_MDAMB231_24H:N21
508,REP.B010_A375_24H:N21
509,REP.B010_YAPC_24H:N23
510,REP.A010_HA1E_24H:N19
511,REP.A010_HT29_24H:N23
512,REP.A010_HT29_24H:N21
513,REP.B010_MCF7_24H:N20
514,REP.A010_THP1_24H:N19
515,REP.A010_MCF10A_24H:N22
516,REP.B010_HA1E_24H:N19
517,REP.B010_HELA_24H:N21
518,REP.B010_A549_24H:N20
519,REP.B010_JURKAT_24H:N22
