,sig_id
155,HOG002_A549_6H:BRD-K81418486-001-32-7:0.3704
156,POL001_PC3_24H:O04
157,POL001_MCF7_24H:O04
158,MET001_MCF7_XH:BRD-K81418486:10:24
159,ABY001_SUDHL4_XH:BRD-K81418486:10:3
160,CPD003_PC3_6H:B04
161,LTC004_HME1_24H:BRD-K81418486:0.12346
162,HOG003_MCF7_24H:BRD-K81418486-001-32-7:3.33
163,HOG003_MCF7_24H:BRD-K81418486-001-32-7:0.0045
164,HOG001_MCF7_6H:BRD-K81418486-001-32-7:0.013
165,DOSBIO001_A549_24H:BRD-K81418486:1.11111
166,CEGS001_NPC.179_24H:C24
167,POL001_JURKAT_24H:O04
168,HDAC002_HA1E_6H:BRD-K81418486-001-10-3:0.00244141
169,BRAF001_HEK293T_6H:BRD-K81418486-001-15-2:2.5
170,DOSBIO002_A375_24H:BRD-K81418486:1.11111
171,RAD001_PC3_24H:BRD-K81418486-001-18-6:0.0412
172,ABY001_HEPG2_XH:BRD-K81418486:10:24
173,LTC001_HME1_24H:BRD-K81418486:0.37037
174,ABY001_NCIH508_XH:BRD-K81418486:10:3
175,RAD001_MCF7_24H:BRD-K81418486-001-18-6:0.3704
176,HOG001_A549_24H:BRD-K81418486-001-32-7:1.11
177,HOG002_A549_24H:BRD-K81418486-001-32-7:3.33
178,RAD001_HCC515_6H:BRD-K81418486-001-18-6:0.1235
179,DEB001_PC3_24H:BRD-K81418486-001-24-4:0.1
180,ABY001_A375_XH:BRD-K81418486:0.625:3
181,ABY001_HT29_XH:BRD-K81418486:2.5:24
182,LTC006_MDAMB231_3H:BRD-K81418486:3.3333
183,ABY001_SUDHL4_XH:BRD-K81418486:2.5:24
184,HOG001_A549_6H:BRD-K81418486-001-32-7:10
185,HDAC002_MCF7_24H:BRD-K81418486-001-10-3:0.3125
186,RAD001_MCF7_6H:BRD-K81418486-001-18-6:1.1111
187,HOG002_MCF7_6H:BRD-K81418486-001-32-7:0.3704
188,NMH001_FIBRNPC_6H:BRD-K81418486-001-28-5:10
189,POL001_PC3_24H:O02
190,LTC003_HME1_24H:BRD-K81418486:0.12346
191,MOA001_A549_24H:O11
192,BRAF001_A375_24H:BRD-K81418486-001-15-2:2.5
